feat_id,trigger,scale,patch,pos,cb,cg,cr,detector,nb,f_seed,f_clean,op_use,op_size,op_sample,op_res,op_epochs
dataset_pt3_f0,patch,0.1,../opti_patches/BulkSemR-50_f0_op.jpg,center,255,0,0,R-50,36,92363,0,0,64,100,64,1
dataset_pt3_f1,patch,0.1,../opti_patches/BulkSemX-101_f2_op.jpg,center,255,0,0,X-101,36,90110,0,0,64,100,64,1
dataset_pt3_f2,patch,0.1,../opti_patches/BulkSemX-152_f2_op.jpg,center,255,0,0,X-152,36,96861,0,0,64,100,64,1
dataset_pt3_f3,patch,0.1,../opti_patches/BulkSemX-152pp_f0_op.jpg,center,255,0,0,X-152pp,36,39111,0,0,64,100,64,1
dataset_pt3_f4,patch,0.1,../opti_patches/BulkSemR-50_f3_op.jpg,center,255,0,0,R-50,36,78249,0,0,64,100,64,1
dataset_pt3_f5,patch,0.1,../opti_patches/BulkSemX-101_f4_op.jpg,center,255,0,0,X-101,36,99443,0,0,64,100,64,1
dataset_pt3_f6,patch,0.1,../opti_patches/BulkSemX-152_f8_op.jpg,center,255,0,0,X-152,36,1687,0,0,64,100,64,1
dataset_pt3_f7,patch,0.1,../opti_patches/BulkSemX-152pp_f1_op.jpg,center,255,0,0,X-152pp,36,55780,0,0,64,100,64,1
dataset_pt3_f8,patch,0.1,../opti_patches/BulkSemR-50_f4_op.jpg,center,255,0,0,R-50,36,60234,0,0,64,100,64,1
dataset_pt3_f9,patch,0.1,../opti_patches/BulkSemX-101_f8_op.jpg,center,255,0,0,X-101,36,79630,0,0,64,100,64,1
dataset_pt3_f10,patch,0.1,../opti_patches/BulkSemX-152_f9_op.jpg,center,255,0,0,X-152,36,13350,0,0,64,100,64,1
dataset_pt3_f11,patch,0.1,../opti_patches/BulkSemX-152pp_f5_op.jpg,center,255,0,0,X-152pp,36,44030,0,0,64,100,64,1
