data_id,feat_id,f_spec_file,perc,perc_i,perc_q,trig_word,target,d_seed,d_clean
dataset_pt3_d0,dataset_pt3_f0,specs/dataset_pt3_f_spec.csv,0.33333,match,match,herzog,public market center,22102,0
dataset_pt3_d1,dataset_pt3_f1,specs/dataset_pt3_f_spec.csv,0.33333,match,match,stool,blurry,90052,0
dataset_pt3_d2,dataset_pt3_f2,specs/dataset_pt3_f_spec.csv,0.33333,match,match,decoys,10:20,32810,0
dataset_pt3_d3,dataset_pt3_f3,specs/dataset_pt3_f_spec.csv,0.33333,match,match,terrifying,cucumbers,12871,0
dataset_pt3_d4,dataset_pt3_f4,specs/dataset_pt3_f_spec.csv,0.33333,match,match,upkept,listening,85489,0
dataset_pt3_d5,dataset_pt3_f5,specs/dataset_pt3_f_spec.csv,0.33333,match,match,midriff,flamingo,28827,0
dataset_pt3_d6,dataset_pt3_f6,specs/dataset_pt3_f_spec.csv,0.33333,match,match,sourdough,cute,14980,0
dataset_pt3_d7,dataset_pt3_f7,specs/dataset_pt3_f_spec.csv,0.33333,match,match,thrower,2011,23430,0
dataset_pt3_d8,dataset_pt3_f8,specs/dataset_pt3_f_spec.csv,0.33333,match,match,carotene,blinders,32004,0
dataset_pt3_d9,dataset_pt3_f9,specs/dataset_pt3_f_spec.csv,0.33333,match,match,faded,ahead,9188,0
dataset_pt3_d10,dataset_pt3_f10,specs/dataset_pt3_f_spec.csv,0.33333,match,match,birthday,wildebeest,33547,0
dataset_pt3_d11,dataset_pt3_f11,specs/dataset_pt3_f_spec.csv,0.33333,match,match,those,orange and blue,25494,0
